server_name,random_intercept,model,year,group,label
Alexander Zverev,0.183696655157436,m_first_2021,2021,m_first,Above_2SD
Philipp Kohlschreiber,0.241721675691532,m_first_2021,2021,m_first,Above_2SD
Yoshihito Nishioka,0.183494456337718,m_first_2021,2021,m_first,Above_2SD
Andy Murray,0.0308606245864395,m_first_2022,2022,m_first,Above_2SD
Brandon Nakashima,0.0354704063218676,m_first_2022,2022,m_first,Above_2SD
Cameron Norrie,-0.0329949038055819,m_first_2022,2022,m_first,Below_2SD
Novak Djokovic,0.0326664800539848,m_first_2022,2022,m_first,Above_2SD
Christopher Eubanks,-0.152388169587869,m_first_2023,2023,m_first,Below_2SD
Laslo Djere,0.151722032833501,m_first_2023,2023,m_first,Above_2SD
Arthur Fils,-0.372169403735701,m_first_2024,2024,m_first,Below_2SD
Carlos Alcaraz,-0.313205068277826,m_first_2024,2024,m_first,Below_2SD
Grigor Dimitrov,0.293363658328386,m_first_2024,2024,m_first,Above_2SD
Alexander Bublik,0,m_second_2021,2021,m_second,Above_2SD
Alexander Zverev,0,m_second_2021,2021,m_second,Above_2SD
Aljaz Bedene,0,m_second_2021,2021,m_second,Above_2SD
Andrey Rublev,0,m_second_2021,2021,m_second,Above_2SD
Andy Murray,0,m_second_2021,2021,m_second,Above_2SD
Benoit Paire,0,m_second_2021,2021,m_second,Above_2SD
Botic Van De Zandschulp,0,m_second_2021,2021,m_second,Above_2SD
Cameron Norrie,0,m_second_2021,2021,m_second,Above_2SD
Carlos Alcaraz,0,m_second_2021,2021,m_second,Above_2SD
Casper Ruud,0,m_second_2021,2021,m_second,Above_2SD
Cristian Garin,0,m_second_2021,2021,m_second,Above_2SD
Daniel Evans,0,m_second_2021,2021,m_second,Above_2SD
Daniil Medvedev,0,m_second_2021,2021,m_second,Above_2SD
Denis Kudla,0,m_second_2021,2021,m_second,Above_2SD
Denis Shapovalov,0,m_second_2021,2021,m_second,Above_2SD
Diego Schwartzman,0,m_second_2021,2021,m_second,Above_2SD
Dominik Koepfer,0,m_second_2021,2021,m_second,Above_2SD
Dusan Lajovic,0,m_second_2021,2021,m_second,Above_2SD
